,hour,demand,supply1,supply2,supply3,supply4,wind,reserve,day,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,label
0,1,15050,22346,6351,9645,5405,2623,1352,0,7,-0.0191395748407,0.000748253194615,0.00153522344772,-0.0178136210889,-0.0177347864956,-0.00820845086128,0.0291070695966,-0.00576385110617,0.00620639976114,-0.00238728290424,0.00448527047411,-0.012861315161,-0.00894248858094,0.00155040912796,0.000144952195114,0.00311508891173,0.00480743171647,-0.00369595247321,-0.00723648583516,-0.0281955841929,0.0104616610333,-0.00252181570977,0.00294400006533,-0.00953532382846,-0.00637247413397,-0.00943189207464,0.0109260622412,201.17
1,2,14525,22346,6187,9284,5241,2500,1305,0,7,-0.0142748216167,0.00421454710886,0.00177205377258,-0.0208307038993,-0.0178677849472,-0.0123556694016,0.0283409208059,-0.00623937416822,-0.00178772013169,-0.00293443654664,0.00467716762796,-0.0113435098901,-0.00812816154212,-0.00073032110231,0.000961763085797,0.00192687904928,0.00396834965795,-0.000600595143624,-0.00689599150792,-0.0319463573396,0.0112829552963,-0.00378714012913,0.00164324359503,-0.00943729653955,-0.00731608876958,-0.006367219612,0.0127151478082,201.05
2,3,14350,22346,5908,9388,4962,2226,1289,0,7,-0.00969744566828,0.0078089768067,0.00290799117647,-0.0240931101143,-0.0186852719635,-0.0158843081445,0.0281580202281,-0.00518570095301,-0.00496534910053,-0.00318224471994,0.00532124796882,-0.010958568193,-0.00848565995693,-0.00231959787197,0.00257349200547,0.00102813530248,0.00175123650115,0.00182839110494,-0.00676173809916,-0.0349843278527,0.0125518878922,-0.00514372671023,0.00025530019775,-0.00884085986763,-0.00765697425231,-0.00408522132784,0.0138167385012,201.05
3,4,14275,22346,5577,9644,4631,1894,1283,0,7,-0.00809201784432,0.0107711246237,0.00425963522866,-0.0266508553177,-0.0190814938396,-0.0179446097463,0.0302059333771,-0.00448642484844,-0.00552970962599,-0.00431794533506,0.00401003751904,-0.010942154564,-0.00815778691322,-0.00208239420317,0.00286954198964,0.0020765340887,0.00164460297674,0.00390373007394,-0.00689075980335,-0.0373754948378,0.013652112335,-0.00485783116892,-0.000640646438114,-0.00837429147214,-0.0075878133066,-0.00368366902694,0.0142251262441,207.2
4,5,14075,22346,5282,9739,4336,1600,1265,0,7,-0.00697220349684,0.0131770186126,0.00511309504509,-0.0280501879752,-0.0190528128296,-0.0193801373243,0.0312887132168,-0.0046347277239,-0.00633690878749,-0.00525406934321,0.00336402864195,-0.00999251939356,-0.00807170663029,-0.00249354215339,0.00328889652155,0.00329803279601,0.00129113497678,0.00492887059227,-0.00686339195818,-0.0397458523512,0.0135264964774,-0.00444711418822,-0.00130360142794,-0.00816191919148,-0.00809253007174,-0.00384608376771,0.0142044527456,207.44
5,6,14800,22346,5039,10694,4106,1352,1330,0,7,-0.00364859239198,0.0132757276297,0.00670725665987,-0.028149234131,-0.0210355650634,-0.0196217484772,0.0332175977528,-0.00564892264083,-0.00851255469024,-0.00475473981351,0.00435659568757,-0.00975929386914,-0.00704707717523,-0.00125754368491,0.00398542080075,0.00201567844488,-0.00114092486911,0.00445384951308,-0.00807608198375,-0.0414222069085,0.0169390663505,-0.00442968215793,-0.00161428179126,-0.009397611022,-0.0075304005295,-0.003103508614,0.0126819759607,225.1
6,7,17500,23055,4839,13561,3939,1137,1570,0,7,-0.000361550308298,0.00627770042047,0.00613097799942,-0.020616043359,-0.0232499223202,-0.018064757809,0.036789111793,-0.0121937487274,-0.0150735136122,-0.00504585215822,0.00779067445546,-0.00964076351374,-0.00508742081001,0.0072003910318,-0.0014257725561,0.000695122987963,-0.00488079804927,0.00166875170544,-0.00966901704669,-0.038180321455,0.0380786843598,-0.00492914160714,-0.00219452031888,-0.0125041082501,-0.00492559140548,0.00148918153718,0.0108842868358,287.46
7,8,19975,23055,4720,16146,3829,990,1793,0,7,0.00418121134862,0.00721152452752,0.00936001166701,-0.0127858752385,-0.0203077383339,-0.0153670236468,0.0419411212206,-0.0117900632322,-0.0116271600127,-0.00373695790768,0.00835198070854,-0.00822351127863,-0.00754606863484,0.0103065585718,-0.00259988172911,0.00281487987377,-0.00658310623839,0.000373321090592,-0.00570793636143,-0.0357059575617,0.0469220913947,-0.00250092032366,-0.0051417183131,-0.0116027584299,-0.00364512950182,0.0011092023924,0.00706890737638,241.07
8,9,21225,23055,4735,17335,3890,993,1906,0,7,0.015111643821,-0.00743612274528,0.00816562864929,-0.00465253554285,-0.00669431919232,-0.00704865390435,0.039419926703,-0.011573988013,-0.00684554036707,-0.00938446447253,0.011460499838,-0.0101603474468,-0.00764134339988,0.0164027772844,-0.0071085751988,0.00158892630134,-0.00522086862475,-0.0059782192111,-0.0134336585179,-0.0313244946301,0.0694254264235,-0.00366236385889,0.00276057049632,-0.00683942204341,-0.00129662489053,-0.000523813068867,0.00611653225496,287.46
9,10,21775,23055,4856,17760,4015,1111,1955,0,7,0.0109033212066,-0.00869409367442,0.0123212160543,-0.00558611005545,-0.000743973359931,-0.00374423153698,0.0397003851831,-0.00805167295039,0.00161299435422,-0.00802768114954,0.0104799792171,-0.0115479109809,-0.00799834169447,0.0195098109543,-0.00439333170652,0.00268143438734,-0.00503748795018,-0.00979581661522,-0.0148304123431,-0.0251927152276,0.0624230802059,0.00114372640382,0.00949200056493,-0.00352511787787,-0.00402826443315,-0.00475661549717,0.00636550271884,292.22
10,11,22025,23032,5024,17836,4189,1281,1978,0,7,-0.00070588971721,-0.00627080537379,0.0150844473392,-0.00468192249537,-0.00224278843962,-0.00425495952368,0.0399090982974,-0.00754834804684,0.0066097183153,-0.00480303121731,0.00766319502145,-0.0107992114499,-0.010704787448,0.021843155846,-0.000591924006585,0.00475689489394,-0.00641540205106,-0.0115760443732,-0.0108469342813,-0.0198500212282,0.047668915242,0.00585640594363,0.0107859224081,-0.00335864187218,-0.0083009172231,-0.00786954630166,0.00753017840907,292.22
11,12,22400,23032,5245,17990,4410,1508,2011,0,7,0.00142322154716,-0.00981748476624,0.0138806020841,-0.00134060403798,6.22598454356e-05,0.000199731191969,0.0392631515861,-0.00655936636031,0.00908918119967,-0.00516305305064,0.00868127308786,-0.0101667232811,-0.010826382786,0.0222112834454,-0.00129262194969,0.00423188786954,-0.00528406305239,-0.013403066434,-0.014937854372,-0.0165320597589,0.0468228720129,0.00555493263528,0.015026521869,-0.00334664573893,-0.00715600838885,-0.0100771281868,0.00555799622089,318.83
12,13,22625,23032,5504,17957,4668,1768,2032,0,7,-0.00246260291897,-0.0118449162692,0.013190349564,0.00181263382547,-0.000611961702816,0.00129218993243,0.0373745784163,-0.00719965342432,0.010507222265,-0.00389099912718,0.0085883801803,-0.00943233538419,-0.012997565791,0.022762350738,-0.00036464506411,0.00408185180277,-0.00657254783437,-0.0149261886254,-0.0150934476405,-0.0133323632181,0.039960257709,0.00663698092103,0.0172179415822,-0.00424893479794,-0.00816681142896,-0.0119810830802,0.00589016685262,318.84
